dProofs73-unfiltered71+.txt:37445981  10 NNCNNpCNpq     DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD11DDDD1D1DD1DD11D1D1D11111DD1D11D1111:NNCNN0CN0.1
dProofs73-unfiltered71+.txt:42632658  10 CNNNCNNppq     DDDDD1D111DDD11DDD1D1DD1D1D111DDD11D1D1D11111DDD1D1DDDD11D1D1D111D1D11111:CNNNCNN0.0.1
dProofs75-unfiltered71+.txt:62661571  10 CNCNNNNppq     DDDD1D11D11DDDD1D1DDDD11D1D1D111D1D1111DDD11DDD1D1DD1D1D111DDD11D1D1D111111:CNCNNNN0.0.1
dProofs75-unfiltered71+.txt:65348812  10 CCCppNCqrq     DDDD1D1D11D1D1D1DD1D1D11D1D1DD1D1D11D1DD11DDDD1D1DD1DD11D1D1D11111D1D1D1111:CCC0.0NC1.2.1
dProofs75-unfiltered71+.txt:65419725  10 NNCCNpNNpp     DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1DD1D1D11D1D1D11DDD1D1DD1D1D111D1D1111:NNCCN0NN0.0
dProofs75-unfiltered71+.txt:69585415  10 CNNNNNCppq     DDDD1D1DDDD11D1D1D111D1D1111DDDDD1D1D11DD1D1111DDD1D1DDDD11D1D1D111D1D11111:CNNNNNC0.0.1
dProofs77-unfiltered71+.txt:88589137  10 CCpqCNCprq     DDD1D1D1DD1D1D11D1D1DD1D1D11D1DD11DDDD1D1DD1DD11D1D1D11111D1DD1D1D11D1D1D1111:CC0.1CNC0.2.1
dProofs7.txt:2                        11 CpCCqrCrCqr    DD11D11:C0CC1.2C2C1.2 [instance of CpCqCrq]
dProofs9.txt:1                        11 CCCpqNqCrNq    D1D1D1D11:CCC0.1N1C2N1
dProofs13.txt:2                       11 CCCpCqprCsr    D1DD11D1D1D11:CCC0C1.0.2C3.2
dProofs17.txt:4                       11 CCCpCqqrCsr    D1DD1D1D11D1D1D11:CCC0C1.1.2C3.2
dProofs17.txt:10                      11 CpCqCCrqCsq    DD11DDD11D1D1D111:C0C1CC2.1C3.1 [instance of CpCqCrCsq]
dProofs19.txt:25                      11 CpCCCqqrCsr    DD1DD1D1D11D1D1D111:C0CCC1.1.2C3.2
dProofs21.txt:80                      11 CNCpCqCNprs    DDDD1D11D11DD1D11D111:CNC0C1CN0.2.3
dProofs23.txt:35                      11 CpCqCrCsCts    DD1D1D11D1DD1DD1D111D11:C0C1C2C3C4.3
dProofs25.txt:72                      11 CpCCqrCNNqr    DD1D1DDDD11D1D1D111D1D111:C0CC1.2CNN1.2
dProofs27.txt:348                     11 CNCpCNCqqrs    DDDD1D1D11DD1D11DD1D11D1111:CNC0CNC1.1.2.3
